Date,Value
1989-01-23,0.8776
2000-09-25,1.1451
1979-06-05,0.7226
1996-07-30,0.7623
2008-08-07,0.6504
2014-02-26,0.7317
2002-06-10,1.059
1991-07-09,0.8671
1996-11-26,0.7817
1975-12-23,0.8072
1997-02-03,0.8399
2002-10-29,1.0148
1985-12-09,
1981-12-09,0.9027
1991-09-03,0.8311
1991-04-22,0.8401
2015-02-27,0.8915
1976-05-24,0.8497
1991-08-15,0.8298
2009-03-25,0.7387
1996-11-08,
1984-04-16,1.1831
2010-08-31,0.7868
2012-06-28,0.8048
1991-10-28,0.8181
1997-09-15,0.8985
1997-12-24,0.9044
1999-10-18,0.9221
1987-02-18,0.8732
1988-06-24,0.8641
1984-02-06,1.229
1975-08-28,0.7939
2009-03-02,0.7943
2017-08-18,0.8511
1987-12-16,0.7836
2016-11-23,0.9494
2008-09-22,0.6832
2006-10-09,0.7935
1976-06-09,0.8511
1985-11-14,1.1941
1982-11-09,1.0969
2001-11-01,1.1036
1990-01-22,0.8252
1988-04-20,0.7982
1982-06-24,1.0335
2013-12-05,0.7322
2003-01-02,0.9642
2010-02-19,0.7401
1983-11-29,1.2118
2005-07-28,0.8275
1995-01-17,0.796
1987-06-01,0.8751
2008-02-07,0.6895
2012-10-10,0.7751
2001-07-11,1.161
2016-03-07,0.9104
1982-04-02,0.9885
1977-09-01,0.8297
1988-11-29,0.8296
1978-08-08,0.7386
2014-06-24,0.7355
1994-11-03,0.7805
2017-07-28,0.8513
1982-06-04,0.9735
1982-02-25,0.9638
1991-04-04,0.7974
1997-03-24,0.8643
1993-10-27,0.8657
1999-04-22,0.9438
2003-06-17,0.8463
1980-01-03,0.6589
1978-02-15,0.7765
1977-04-14,0.8292
1982-03-29,0.9929
2003-04-28,0.9095
1989-03-01,0.879
2015-09-11,0.8866
1992-03-30,0.7923
2003-01-27,0.9238
2003-06-06,0.855
2003-05-30,0.8506
2005-08-03,0.8119
1985-03-29,1.3871
1996-04-03,0.7653
1998-05-12,0.9067
1985-02-08,1.4488
2003-05-08,0.8732
1991-11-21,0.7688
1992-04-28,0.7926
1995-07-11,
1997-07-18,0.9132
1992-02-05,0.7617
2015-03-12,0.9422
1996-06-13,0.7886
2009-06-26,0.7108
2010-12-13,0.747
1979-05-16,0.7194
2012-02-13,0.7566
1975-07-10,0.7511
2015-04-30,0.8928
1983-08-22,1.1662
1975-07-15,0.7583
1991-10-02,0.7963
1980-05-19,0.6926
2002-10-23,1.0245
1978-09-04,0.7314
2013-07-09,0.7821
2002-10-09,1.0134
2000-09-19,1.1715
1987-12-04,0.8006
1975-09-26,0.8202
1999-10-20,0.928
1985-06-20,1.3819
1984-04-05,1.1718
1993-08-06,0.8737
2006-02-02,0.8274
2009-05-12,0.7328
1979-04-11,0.7142
1990-10-01,0.7403
2003-10-13,0.8566
1977-10-12,0.8242
1989-08-03,0.8873
1983-10-07,
1995-06-13,0.7455
2007-07-17,0.7254
2013-05-22,0.7765
1992-03-10,0.8006
1976-10-13,0.8333
1981-01-08,0.755
1982-07-05,1.039
1997-07-18,
2002-07-12,1.0108
2007-08-08,0.7236
2002-05-22,1.079
2008-09-16,0.7083
1975-01-31,0.7423
1983-04-25,1.0751
1987-03-26,0.8715
1986-05-06,1.026
2011-08-03,0.6996
2008-01-02,0.6791
1979-08-10,0.6919
2009-04-24,0.7547
2014-10-21,0.7856
2003-06-23,0.8676
1983-11-01,1.1812
2015-12-16,0.9136
1977-08-19,0.831
1993-09-06,0.8324
1980-12-05,0.7518
1993-11-09,0.8726
2004-04-05,0.8324
1982-05-18,0.9569
1984-04-06,1.1761
1976-09-30,0.8345
1990-04-24,0.807
1981-09-14,0.9308
2014-04-14,0.7238
1980-06-26,0.6794
2012-07-27,0.8083
2011-01-27,0.7282
1978-03-10,0.7713
1995-09-01,0.7659
2017-09-21,0.8387
1999-10-06,0.9342
1982-05-27,
2012-11-07,0.784
2004-03-22,0.808
2004-06-22,0.8272
1982-11-10,1.0919
2004-05-07,0.8395
1999-05-04,0.9428
2004-06-16,0.8328
1996-05-15,0.7871
1984-04-09,1.1739
2006-09-14,0.7843
1999-10-26,0.9446
2008-05-19,0.6446
1984-12-06,
1985-09-24,1.2417
2008-07-28,0.6354
1998-06-18,0.9142
1990-12-20,0.7185
2010-11-26,0.7567
1977-12-15,0.7931
1977-03-25,0.8327
1996-06-04,0.7861
1980-10-14,0.6988
1985-02-05,1.4358
2011-11-04,0.7267
2014-02-05,0.739
1984-02-07,1.2383
1977-08-24,0.8259
1995-06-30,0.735
1998-08-27,0.9238
1977-09-20,0.8323
2015-12-30,0.9163
1992-05-29,0.7675
1990-11-07,0.7077
1987-05-19,0.8512
2010-03-03,0.7304
2014-02-25,0.7281
1979-06-15,0.716
2007-02-08,0.767
2009-02-09,0.7652
1985-01-23,1.4167
1994-06-27,0.8081
2007-01-23,0.7673
1995-08-14,0.7505
1995-08-21,0.7674
2008-07-22,0.6315
2006-10-04,0.7881
2013-05-07,0.7642
1996-12-17,0.7893
2004-09-14,0.8141
1975-12-24,0.8062
2016-06-14,0.892
2004-07-15,0.8083
2012-05-09,0.7733
2005-09-14,0.8125
1980-11-13,0.7269
